trialID,nsdID
1,46002
2,61882
3,828
4,67573
5,16020
6,40422
7,51517
8,62325
9,50610
10,55065
11,37398
12,18039
13,67533
14,21822
15,35405
16,21690
17,28278
18,10459
19,2293
20,44325
21,38218
22,30032
23,65255
24,64919
25,12469
26,43078
27,8926
28,9860
29,48617
30,18699
31,52707
32,65060
33,47923
34,54482
35,58816
36,44980
37,12258
38,2548
39,11018
40,23358
41,39386
42,17681
43,61819
44,571
45,32625
46,28278
47,17497
48,50802
49,36628
50,22268
51,27745
52,18468
53,34051
54,15555
55,17303
56,53052
57,4930
58,43898
59,3371
60,17952
61,31927
62,50005
63,35618
64,4996
65,3585
66,33483
67,2813
68,17304
69,3585
70,27901
71,34023
72,17668
73,7160
74,27204
75,45699
76,6124
77,45318
78,42194
79,15284
80,13758
81,45721
82,25279
83,52865
84,39789
85,7188
86,23748
87,44085
88,27605
89,33364
90,7264
91,32625
92,65972
93,14818
94,60123
95,42725
96,50102
97,21683
98,31968
99,25260
100,11880
101,13299
102,68508
103,18656
104,38924
105,15721
106,15761
107,49170
108,33483
109,26185
110,70468
111,4695
112,204
113,3390
114,69027
115,19763
116,44360
117,47125
118,33466
119,40933
120,67444
121,6431
122,15761
123,2019
124,2293
125,25406
126,4776
127,70335
128,27358
129,27813
130,58520
131,39390
132,67099
133,36576
134,70136
135,68099
136,39186
137,12706
138,155
139,9376
140,6362
141,46116
142,18067
143,51594
144,60985
145,62949
146,70124
147,51992
148,32188
149,70124
150,51227
151,16148
152,26953
153,57046
154,15555
155,25260
156,54123
157,62341
158,59479
159,53540
160,54926
161,38890
162,56554
163,57087
164,32701
165,9255
166,17896
167,7659
168,67142
169,35803
170,34011
171,33442
172,37020
173,37020
174,30373
175,53423
176,37015
177,25959
178,5118
179,64647
180,33748
181,3371
182,32141
183,8734
184,15276
185,21486
186,5101
187,63806
188,65972
189,30373
190,44980
191,70327
192,38218
193,26696
194,63441
195,47674
196,31220
197,63806
198,63244
199,43712
200,15522
201,5033
202,65414
203,47163
204,66266
205,70856
206,60387
207,49758
208,15491
209,38882
210,36929
211,19767
212,38437
213,32141
214,38924
215,11270
216,38918
217,1701
218,2114
219,34944
220,65255
221,48281
222,44664
223,33364
224,25544
225,67099
226,37942
227,27358
228,38507
229,72443
230,17681
231,42205
232,42171
233,5602
234,17956
235,8235
236,19624
237,52731
238,16763
239,55930
240,48918
241,63191
242,46116
243,32365
244,63121
245,46276
246,21601
247,62302
248,49724
249,45721
250,5301
251,15492
252,70129
253,28680
254,60312
255,8383
256,25287
257,63814
258,35919
259,49453
260,8389
261,46019
262,1289
263,47425
264,16763
265,21601
266,70124
267,45128
268,6558
269,37592
270,66691
271,63121
272,68715
273,69034
274,52371
275,47400
276,19947
277,16548
278,41708
279,54926
280,58349
281,70335
282,16723
283,70327
284,19947
285,61947
286,15522
287,23641
288,23641
289,33483
290,2737
291,48202
292,11782
293,15238
294,6116
295,32141
296,47761
297,38040
298,43858
299,57750
300,70954
301,35852
302,13000
303,52603
304,52651
305,23496
306,40575
307,32142
308,46857
309,18556
310,7024
311,50102
312,15491
313,22924
314,7095
315,33208
316,70654
317,23877
318,51146
319,28399
320,4021
321,23748
322,45372
323,40477
324,19144
325,11033
326,37832
327,18590
328,14758
329,37020
330,49204
331,15591
332,8667
333,4265
334,6362
335,10113
336,63707
337,28690
338,60377
339,42383
340,42384
341,29699
342,409
343,68508
344,2884
345,10449
346,45595
347,54568
348,59597
349,19378
350,19985
351,37181
352,57549
353,63441
354,53052
355,68746
356,17896
357,9917
358,15307
359,17319
360,26598
361,71873
362,21601
363,34944
364,15591
365,58405
366,1082
367,66287
368,55443
369,46116
370,67099
371,49397
372,22460
373,46276
374,60305
375,51227
376,28690
377,71317
378,63887
379,44085
380,12482
381,71620
382,45318
383,53375
384,52865
385,60746
386,50593
387,70654
388,17319
389,34011
390,36263
391,37015
392,35803
393,59793
394,29699
395,39920
396,25389
397,28127
398,42439
399,16625
400,63772
401,53375
402,48566
403,4786
404,31528
405,16625
406,42439
407,55661
408,4561
409,53375
410,57750
411,32696
412,67819
413,19010
414,38936
415,71315
416,12482
417,62428
418,14429
419,60985
420,68715
421,64919
422,55712
423,47287
424,58405
425,24083
426,18193
427,18193
428,71873
429,7634
430,33258
431,35466
432,682
433,5118
434,19181
435,33974
436,63472
437,21031
438,16548
439,58422
440,6558
441,72080
442,29036
443,34000
444,60789
445,18492
446,35852
447,10784
448,5101
449,36067
450,4776
451,50644
452,38437
453,54111
454,55661
455,2049
456,65402
457,52731
458,66691
459,46133
460,71317
461,63727
462,33242
463,63814
464,25277
465,51992
466,59711
467,2792
468,68383
469,71753
470,68638
471,5631
472,37529
473,1233
474,70801
475,49754
476,14697
477,55208
478,68746
479,41853
480,1400
481,2792
482,34000
483,33138
484,29599
485,43934
486,1701
487,64712
488,16148
489,24083
490,52731
491,11656
492,25389
493,6116
494,38924
495,46952
496,29400
497,16827
498,58144
499,55738
500,5660
501,11656
502,57549
503,57750
504,46019
505,11942
506,59634
507,15491
508,32496
509,19181
510,14873
511,49748
512,39418
513,52603
514,63441
515,71261
516,31060
517,8389
518,28690
519,28710
520,38817
521,14475
522,13223
523,16302
524,66489
525,40068
526,71758
527,11103
528,71232
529,15536
530,15158
531,52232
532,58169
533,61881
534,62405
535,18039
536,29509
537,21953
538,13113
539,61881
540,49724
541,42036
542,12386
543,67808
544,16498
545,7303
546,59410
547,17319
548,13178
549,68537
550,48281
551,33138
552,5027
553,60177
554,15522
555,58422
556,38636
557,44417
558,42338
559,25007
560,25788
561,60177
562,37775
563,9095
564,45721
565,39286
566,66691
567,5066
568,48304
569,9150
570,56830
571,55443
572,58480
573,65340
574,42439
575,3626
576,28127
577,5118
578,29815
579,39461
580,59734
581,55939
582,39290
583,22959
584,17165
585,8389
586,18887
587,44798
588,68508
589,25855
590,5101
591,24921
592,6037
593,43562
594,26185
595,56548
596,64284
597,30617
598,66765
599,19181
600,45595
601,14528
602,56521
603,34722
604,17040
605,28472
606,34082
607,8116
608,41064
609,69027
610,11018
611,45413
612,68746
613,30605
614,28149
615,65518
616,60454
617,9882
618,2839
619,39063
620,45842
621,2114
622,46133
623,33024
624,5537
625,9917
626,71276
627,7981
628,7142
629,56042
630,57998
631,66315
632,69581
633,65972
634,34238
635,266
636,6115
637,13223
638,52637
639,15664
640,40068
641,49724
642,54232
643,21537
644,60419
645,68510
646,68135
647,11033
648,47272
649,1174
650,64020
651,41853
652,22564
653,58198
654,64331
655,46522
656,17795
657,21537
658,56053
659,28710
660,37832
661,7940
662,50113
663,67383
664,8557
665,47125
666,18573
667,14121
668,7303
669,12195
670,5594
671,4081
672,45557
673,69902
674,44948
675,15664
676,21981
677,7634
678,488
679,7142
680,7264
681,22401
682,40944
683,5218
684,11033
685,6116
686,26351
687,5594
688,37636
689,42991
690,4786
691,20595
692,55712
693,52637
694,57027
695,67568
696,23872
697,40189
698,10262
699,24289
700,14758
701,13738
702,11159
703,8890
704,63169
705,22057
706,46443
707,8707
708,41365
709,53510
710,9150
711,54183
712,60496
713,52247
714,33025
715,7142
716,60170
717,2264
718,18741
719,20550
720,38936
721,45557
722,61031
723,23120
724,50433
725,14528
726,50282
727,47272
728,21537
729,29944
730,66733
731,22355
732,29837
733,72895
734,20184
735,68490
736,14938
737,58273
738,22057
739,58144
740,5756
741,2839
742,10740
743,27810
744,64177
745,41221
746,32021
747,54236
748,48681
749,72480
750,3182
751,26331
752,1465
753,14594
754,62405
755,59234
756,34348
757,50694
758,23843
759,17040
760,53486
761,24480
762,71315
763,36974
764,68249
765,52232
766,35779
767,15064
768,15227
769,56272
770,59234
771,36762
772,70627
773,24684
774,22959
775,16548
776,27813
777,10262
778,17841
779,67103
780,1082
781,36910
782,16702
783,61716
784,34106
785,65409
786,19897
787,8973
788,3220
789,69365
790,53486
791,26473
792,55093
793,4476
794,33453
795,71873
796,34722
797,63814
798,11270
799,5602
800,3626
801,16498
802,59848
803,61748
804,5463
805,10117
806,11340
807,59268
808,62933
809,8006
810,53561
811,29935
812,17429
813,68490
814,60839
815,63248
816,43169
817,35469
818,68013
819,13612
820,41394
821,54438
822,4786
823,41394
824,55741
825,38995
826,46522
827,25007
828,13138
829,36910
830,17947
831,58911
832,65766
833,69752
834,22564
835,18047
836,9095
837,34106
838,65348
839,25454
840,15191
841,28309
842,13
843,51221
844,33774
845,45557
846,14528
847,27141
848,31655
849,44040
850,4476
851,24872
852,52391
853,70187
854,71751
855,58361
856,17053
857,25080
858,66707
859,13738
860,39461
861,10262
862,15158
863,17815
864,17825
865,70514
866,34195
867,13223
868,14429
869,52447
870,9230
871,14594
872,52447
873,17825
874,40234
875,56272
876,61748
877,51243
878,50658
879,47583
880,25080
881,9048
882,45988
883,1785
884,33208
885,1851
886,22401
887,59783
888,22062
889,3710
890,61789
891,56053
892,58520
893,65532
894,37889
895,34722
896,14758
897,40189
898,45999
899,26331
900,1233
901,42851
902,5305
903,52285
904,48173
905,60839
906,50694
907,25544
908,22515
909,6626
910,23401
911,25080
912,50694
913,36910
914,40840
915,2839
916,15738
917,57342
918,5792
919,31976
920,26890
921,61716
922,61748
923,5791
924,53486
925,44263
926,9027
927,3695
928,25406
929,52447
930,36321
931,64331
932,15064
933,57733
934,45290
935,13873
936,15191
937,60824
938,38995
939,20595
940,60514
941,11340
942,54438
943,50656
944,53891
945,48103
946,22934
947,65096
948,59672
949,27204
950,5305
951,61873
952,4648
953,24038
954,31968
955,37775
956,28982
957,14940
958,36767
959,41532
960,50139
961,63526
962,69507
963,31232
964,20595
965,25406
966,54232
967,17748
968,1233
969,37899
970,6607
971,25322
972,33449
973,19260
974,14940
975,42926
976,34513
977,64329
978,8582
979,20550
980,40766
981,6607
982,20631
983,29815
984,2792
985,58898
986,24031
987,52950
988,5594
989,65303
990,70187
991,53891
992,63194
993,62405
994,53858
995,8707
996,57027
997,30847
998,21652
999,22782
1000,46522
1001,70187
1002,42991
1003,53858
1004,62337
1005,72074
1006,1639
1007,45988
1008,40055
1009,12497
1010,26793
1011,30081
1012,43349
1013,17825
1014,59792
1015,19989
1016,17947
1017,42851
1018,5878
1019,59515
1020,51435
1021,38306
1022,36047
1023,68007
1024,43537
1025,32140
1026,10255
1027,66715
1028,17041
1029,26435
1030,66899
1031,5033
1032,68102
1033,57998
1034,28816
1035,59112
1036,60310
1037,15738
1038,7435
1039,24890
1040,39745
1041,9291
1042,12633
1043,21405
1044,20249
1045,12195
1046,64440
1047,45880
1048,59480
1049,54436
1050,19615
1051,14180
1052,28477
1053,48103
1054,27418
1055,39753
1056,45185
1057,8116
1058,40984
1059,58361
1060,46153
1061,11687
1062,64331
1063,18427
1064,48103
1065,9355
1066,11455
1067,24070
1068,44263
1069,18092
1070,57998
1071,38817
1072,3015
1073,66303
1074,24070
1075,35552
1076,24700
1077,39745
1078,70984
1079,5756
1080,22515
1081,52196
1082,45261
1083,68537
1084,27106
1085,55595
1086,9291
1087,39186
1088,66138
1089,39322
1090,8227
1091,43968
1092,51077
1093,59480
1094,38844
1095,35521
1096,24070
1097,23401
1098,46133
1099,61354
1100,43118
1101,44809
1102,27642
1103,23415
1104,32311
1105,48911
1106,1128
1107,33990
1108,13857
1109,16251
1110,12725
1111,68842
1112,39951
1113,29034
1114,48566
1115,33110
1116,1013
1117,59729
1118,59480
1119,15631
1120,7336
1121,8757
1122,35996
1123,57672
1124,23652
1125,3157
1126,26535
1127,72480
1128,32897
1129,58107
1130,9354
1131,30474
1132,25855
1133,34476
1134,38844
1135,35152
1136,35779
1137,4910
1138,67638
1139,10464
1140,46059
1141,29282
1142,45478
1143,52133
1144,11543
1145,38306
1146,69800
1147,5149
1148,62117
1149,19989
1150,9338
1151,26458
1152,68537
1153,65999
1154,53605
1155,34690
1156,51937
1157,66388
1158,61196
1159,12796
1160,23018
1161,34633
1162,40234
1163,30081
1164,3935
1165,51026
1166,37889
1167,18648
1168,56573
1169,56521
1170,49570
1171,33994
1172,35996
1173,19615
1174,21932
1175,51011
1176,5451
1177,26127
1178,7859
1179,13826
1180,2259
1181,59734
1182,27477
1183,3338
1184,119
1185,39322
1186,14793
1187,43349
1188,31245
1189,44263
1190,21635
1191,8367
1192,32846
1193,58835
1194,42036
1195,56614
1196,12796
1197,8109
1198,68121
1199,24890
1200,35380
1201,55277
1202,63526
1203,23617
1204,4168
1205,64972
1206,7556
1207,67638
1208,470
1209,38310
1210,19759
1211,62337
1212,55930
1213,12861
1214,17946
1215,61422
1216,5266
1217,15454
1218,17996
1219,21635
1220,5305
1221,30392
1222,24890
1223,7447
1224,25051
1225,14644
1226,6815
1227,6555
1228,70279
1229,45988
1230,39539
1231,37789
1232,63227
1233,52563
1234,36762
1235,48398
1236,1306
1237,26379
1238,18502
1239,52701
1240,52780
1241,62117
1242,66778
1243,22555
1244,26295
1245,57689
1246,14940
1247,571
1248,9588
1249,34633
1250,16344
1251,10672
1252,62630
1253,66303
1254,17815
1255,34318
1256,19818
1257,41956
1258,7556
1259,64867
1260,3220
1261,61422
1262,18796
1263,72105
1264,49507
1265,3626
1266,72032
1267,32897
1268,42445
1269,68842
1270,37594
1271,9354
1272,61422
1273,20631
1274,26458
1275,66807
1276,46445
1277,25063
1278,9048
1279,22555
1280,47695
1281,23652
1282,37636
1283,26295
1284,17815
1285,50178
1286,31689
1287,59975
1288,67829
1289,43349
1290,4399
1291,49713
1292,59729
1293,8774
1294,3220
1295,37636
1296,41444
1297,8362
1298,32210
1299,54436
1300,70984
1301,66807
1302,40234
1303,29225
1304,12861
1305,41482
1306,59112
1307,7290
1308,54552
1309,43118
1310,9354
1311,46724
1312,51077
1313,20249
1314,33918
1315,4019
1316,2701
1317,12818
1318,34476
1319,56901
1320,15939
1321,39315
1322,18745
1323,3982
1324,58019
1325,22555
1326,51937
1327,67638
1328,57577
1329,9588
1330,3935
1331,23556
1332,21108
1333,29225
1334,29034
1335,26274
1336,33656
1337,18952
1338,5610
1339,8933
1340,21155
1341,15395
1342,68842
1343,70729
1344,35152
1345,14578
1346,35504
1347,7207
1348,13826
1349,488
1350,37695
1351,27642
1352,44413
1353,6134
1354,22401
1355,64181
1356,62365
1357,46368
1358,15955
1359,52780
1360,54236
1361,50708
1362,59108
1363,34690
1364,56573
1365,27642
1366,16998
1367,9355
1368,16107
1369,39753
1370,12861
1371,3413
1372,68040
1373,48422
1374,63851
1375,66899
1376,52196
1377,31538
1378,43118
1379,47939
1380,66899
1381,65652
1382,13857
1383,43280
1384,14688
1385,31538
1386,17864
1387,56606
1388,2880
1389,72581
1390,31625
1391,11837
1392,29815
1393,61461
1394,7840
1395,9588
1396,33277
1397,19854
1398,11687
1399,22892
1400,34487
1401,30538
1402,48422
1403,23921
1404,28928
1405,11932
1406,68510
1407,70729
1408,19058
1409,60061
1410,72340
1411,72340
1412,221
1413,1181
1414,3413
1415,34781
1416,9048
1417,69270
1418,1174
1419,29378
1420,72032
1421,62117
1422,28548
1423,67191
1424,52022
1425,11617
1426,50708
1427,18318
1428,21822
1429,59108
1430,13139
1431,54208
1432,12536
1433,60126
1434,25653
1435,59823
1436,9077
1437,45644
1438,8234
1439,23047
1440,60505
1441,50817
1442,51803
1443,62916
1444,64603
1445,57838
1446,12724
1447,17996
1448,52727
1449,49531
1450,65116
1451,31245
1452,46368
1453,21447
1454,29936
1455,51026
1456,23230
1457,30840
1458,47174
1459,17075
1460,72398
1461,16107
1462,42299
1463,72983
1464,26613
1465,12818
1466,37656
1467,32897
1468,39696
1469,56573
1470,52727
1471,1948
1472,49934
1473,60765
1474,50708
1475,68880
1476,44537
1477,50827
1478,26535
1479,21932
1480,33656
1481,18952
1482,29852
1483,47542
1484,29225
1485,1288
1486,45344
1487,31625
1488,637
1489,68040
1490,23230
1491,9434
1492,43482
1493,45352
1494,59149
1495,53974
1496,189
1497,33918
1498,28540
1499,44299
1500,62960
1501,9227
1502,55016
1503,60126
1504,51937
1505,63526
1506,65312
1507,32846
1508,32344
1509,19829
1510,59975
1511,10517
1512,26163
1513,22199
1514,17996
1515,52767
1516,6184
1517,23679
1518,16998
1519,68477
1520,22803
1521,46806
1522,10255
1523,29936
1524,25273
1525,18888
1526,17427
1527,57184
1528,49705
1529,1273
1530,22497
1531,7274
1532,8734
1533,35521
1534,28253
1535,21155
1536,37842
1537,34633
1538,54256
1539,5266
1540,18318
1541,49678
1542,29364
1543,47560
1544,61716
1545,29936
1546,15254
1547,41592
1548,16998
1549,47099
1550,23988
1551,28809
1552,67191
1553,44325
1554,52580
1555,15454
1556,11687
1557,61840
1558,72089
1559,32846
1560,50981
1561,71432
1562,3592
1563,25162
1564,42299
1565,32344
1566,64386
1567,39040
1568,37224
1569,72074
1570,19199
1571,18745
1572,46601
1573,68383
1574,23211
1575,62960
1576,28170
1577,14825
1578,64603
1579,12674
1580,67191
1581,71330
1582,60312
1583,20422
1584,45577
1585,28652
1586,25144
1587,155
1588,15454
1589,70462
1590,36834
1591,61059
1592,24605
1593,7207
1594,57542
1595,64141
1596,9434
1597,61305
1598,60858
1599,30150
1600,63426
1601,17303
1602,31625
1603,46059
1604,58669
1605,5313
1606,24605
1607,59093
1608,67090
1609,37536
1610,44417
1611,72089
1612,14180
1613,28809
1614,28442
1615,55566
1616,21120
1617,30538
1618,26295
1619,65312
1620,33203
1621,36996
1622,15240
1623,1273
1624,39323
1625,70420
1626,66838
1627,58129
1628,26915
1629,39109
1630,43280
1631,49705
1632,26224
1633,54096
1634,21989
1635,70462
1636,53500
1637,21447
1638,7274
1639,62630
1640,3715
1641,17053
1642,20072
1643,36548
1644,33336
1645,44844
1646,33946
1647,16087
1648,36418
1649,24605
1650,8109
1651,19761
1652,63620
1653,23988
1654,16087
1655,36332
1656,23556
1657,36307
1658,32771
1659,14766
1660,22483
1661,44537
1662,69635
1663,64896
1664,24541
1665,8983
1666,50507
1667,42757
1668,66838
1669,63620
1670,64001
1671,67318
1672,65821
1673,48021
1674,2693
1675,33470
1676,28210
1677,36418
1678,58506
1679,33521
1680,22583
1681,21120
1682,24157
1683,5830
1684,27246
1685,24050
1686,57622
1687,64603
1688,27568
1689,3715
1690,36876
1691,34083
1692,10098
1693,17427
1694,50759
1695,65102
1696,59255
1697,15770
1698,19370
1699,49123
1700,49841
1701,28024
1702,63851
1703,30582
1704,47174
1705,14738
1706,21120
1707,27941
1708,17427
1709,64755
1710,31417
1711,45227
1712,22452
1713,69732
1714,32332
1715,20194
1716,27246
1717,11072
1718,72271
1719,7840
1720,5830
1721,41073
1722,23652
1723,37656
1724,1278
1725,8109
1726,49678
1727,44497
1728,56901
1729,31976
1730,26613
1731,26224
